Manufacturer,Model,Effective Length,Overhang,Offset Angle,Null Points,Null Alignment Type,Effective Mass,Cartridge Range Low,Cartridge Range High,Arm Mount,Null Point Inner,Null Point Outer,Sources
Wand,Master 12-inch,,,,,Unknown,16.0,5.0,13.0,,,,"The Wand Series B data sheet,The Wand tonearm models page"
Well Tempered Lab,LTD 10.5-inch,267.0,,,,Unknown,10.0,,,22 mm hole / fixed geometry,,,WTL LTD manual
Well Tempered Lab,LTD 16-inch,400.0,6.35,11.0,,Other,,,,,,,Royale 400 brochure
Wilson Benesch,A.C.T. 0.5,235.0,18.0,,,Unknown,9.0,5.0,16.0,,,,Wilson Benesch analogue owner manual
Wilson Benesch,A.C.T. 25,235.0,18.0,,,Unknown,9.0,7.5,22.0,,,,Wilson Benesch analogue brochure
Wilson Benesch,A.C.T. Two,235.0,18.0,,,Unknown,9.0,5.0,16.0,,,,Wilson Benesch analogue owner manual
Wilson Benesch,ACT2& ACT 0.5,237.0,17.5,23.22,66/121,Baewald,,,,,66.0,121.0,"BIGLOBE Arm Data,Microsoft Word - Analogue Manual 09 PDF.doc"
Wilson Benesch,Nanotube One,235.0,18.0,,,Unknown,8.0,9.0,13.5,,,,Wilson Benesch analogue brochure
Yamaha,YSA-1,262.0,14.0,20.0,60/119,Other,,,,,60.0,119.0,"BIGLOBE Arm Data,YAMAHA YSA-1の仕様 ヤマハ,YAMAHA GT-2000Xの仕様 ヤマハ"
Yamaha,YSA-2 pure straight arm,228.0,-20.0,0.0,97.6,Other,,,,,97.6,,"BIGLOBE Arm Data,YAMAHA YSA-2の仕様 ヤマハ,YAMAHA GT-2000/GT-2000Lの仕様 ヤマハ"
Zeta,Zeta,228.6,18.0,23.75,68/116,Other,,,,,68.0,116.0,"BIGLOBE Arm Data,Zeta Arm HandMade Gimbal Bearing Tonearm Manual"
